Recorte,Código IBGE,Município,Unidade de Gerenciamento de Recursos Hídricos (UGRHI) ,Região Administrativa,Região de Governo,Região Metropolitana,Aglomerações Urbanas
EMPLASA e DAEE,3546702,Santa Gertrudes,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Rio Claro,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3547007,Santa Maria da Serra,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3548005,Santo Antônio de Posse,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3550407,São Pedro,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Piracicaba,-,Aglomeração Urbana de Piracicaba
EMPLASA e DAEE,3552403,Sumaré,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3554953,Tuiuti,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3556206,Valinhos,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
EMPLASA e DAEE,3556354,Vargem,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Bragança Paulista,-,-
EMPLASA e DAEE,3556503,Várzea Paulista,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Jundiaí,-,Aglomeração Urbana de Jundiaí
EMPLASA e DAEE,3556701,Vinhedo,05 - Piracicaba/Capivari/Jundiaí,Região Administrativa de Campinas,Região de Governo de Campinas,Região Metropolitana de Campinas,-
DAEE,3530706,Mogi Guaçu,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Campinas,-,-
DAEE,3530805,Mogi Mirim,09 - Mogi-Guaçu,Região Administrativa de Campinas,Região de Governo de Campinas,-,-
